 # Pressure Initial   1.6052041603631845E+031
 # 
 #  Radius              Mass                  Rho                   Pressure 
  #-------------------------------------
  1.310000000000000E+05   1.491363865876008E+29   1.572994559742576E+13   1.574783675738366E+31
  1.315000000000000E+05   1.508388512439578E+29   1.572790904388060E+13   1.574554266607399E+31
  1.320000000000000E+05   1.525540892360081E+29   1.572586515569193E+13   1.574324031259909E+31
  1.325000000000000E+05   1.542821457876955E+29   1.572381393687963E+13   1.574092970148714E+31
  1.330000000000000E+05   1.560230660856436E+29   1.572175538941832E+13   1.573861083496249E+31
  1.335000000000000E+05   1.577768952791764E+29   1.571968952009080E+13   1.573628372066569E+31
  1.340000000000000E+05   1.595436784806551E+29   1.571761633363868E+13   1.573394836393793E+31
  1.345000000000000E+05   1.613234607651368E+29   1.571553583689976E+13   1.573160477248173E+31
  1.350000000000000E+05   1.631162871699383E+29   1.571344802979604E+13   1.572925294620922E+31
  1.355000000000000E+05   1.649222026946704E+29   1.571135291989105E+13   1.572689289364038E+31
  1.360000000000000E+05   1.667412523015161E+29   1.570925051409088E+13   1.572452462255465E+31
  1.365000000000000E+05   1.685734809146345E+29   1.570714081371850E+13   1.572214813444227E+31
  1.370000000000000E+05   1.704189334200358E+29   1.570502382430792E+13   1.571976343553711E+31
  1.375000000000000E+05   1.722776546659575E+29   1.570289955424397E+13   1.571737053528429E+31
  1.380000000000000E+05   1.741496894623329E+29   1.570076800415268E+13   1.571496943438902E+31
  1.385000000000000E+05   1.760350825805885E+29   1.569862918033273E+13   1.571256013994651E+31
  1.390000000000000E+05   1.779338787538607E+29   1.569648308911240E+13   1.571014265908528E+31
  1.395000000000000E+05   1.798461226767112E+29   1.569432973398008E+13   1.570771699573485E+31
  1.400000000000000E+05   1.817718590048322E+29   1.569216911842510E+13   1.570528315382581E+31
  1.405000000000000E+05   1.837111323551008E+29   1.569000124810305E+13   1.570284113972896E+31
  1.410000000000000E+05   1.856639873054615E+29   1.568782612942040E+13   1.570039096066089E+31
  1.415000000000000E+05   1.876304683949888E+29   1.568564376589979E+13   1.569793262058972E+31
  1.420000000000000E+05   1.896106201234125E+29   1.568345416471837E+13   1.569546612760019E+31
  1.425000000000000E+05   1.916044869515483E+29   1.568125732942164E+13   1.569299148568618E+31
  1.430000000000000E+05   1.936121133001635E+29   1.567905326136194E+13   1.569050869637103E+31
  1.435000000000000E+05   1.956335435508812E+29   1.567684197217964E+13   1.568801777276712E+31
  1.440000000000000E+05   1.976688220458834E+29   1.567462346398728E+13   1.568551871725414E+31
  1.445000000000000E+05   1.997179930874159E+29   1.567239774184997E+13   1.568301153553772E+31
  1.450000000000000E+05   2.017811009377650E+29   1.567016480936007E+13   1.568049623166452E+31
  1.455000000000000E+05   2.038581898193343E+29   1.566792467458846E+13   1.567797281472601E+31
  1.460000000000000E+05   2.059493039146324E+29   1.566567734265452E+13   1.567544129048899E+31
  1.465000000000000E+05   2.080544873657620E+29   1.566342281568828E+13   1.567290166135282E+31
  1.470000000000000E+05   2.101737842745038E+29   1.566116110107944E+13   1.567035393564170E+31
  1.475000000000000E+05   2.123072387021982E+29   1.565889220398992E+13   1.566779811917031E+31
  1.480000000000000E+05   2.144548946697369E+29   1.565661612883447E+13   1.566523421691169E+31
  1.485000000000000E+05   2.166167961571370E+29   1.565433287851429E+13   1.566266223213389E+31
  1.490000000000000E+05   2.187929871035274E+29   1.565204246203356E+13   1.566008217497977E+31
  1.495000000000000E+05   2.209835114074548E+29   1.564974488155136E+13   1.565749404788142E+31
  1.500000000000000E+05   2.231884129263545E+29   1.564744014458931E+13   1.565489785931163E+31
  1.505000000000000E+05   2.254077354765388E+29   1.564512825562654E+13   1.565229361431597E+31
